team,first_name,last_name,number,position,country,born_on,photo
Korona Kielce,Michał,Mikielewicz,12,goalkeeper,POL,2008-09-26,photos/korona-kielce/michał_mikielewicz.png
Korona Kielce,Kacper,Minuczyc,20,midfielder,POL,2008-04-22,photos/korona-kielce/kacper_minuczyc.png
Korona Kielce,Xavier,Dziekoński,1,goalkeeper,POL,2003-10-06,photos/korona-kielce/xavier_dziekoński.png
Korona Kielce,Bartłomiej,Smolarczyk,24,defender,POL,2003-07-02,photos/korona-kielce/bartłomiej_smolarczyk.png
Korona Kielce,Jakub,Budnicki,61,defender,POL,2001-07-19,photos/korona-kielce/jakub_budnicki.png
Korona Kielce,Wiktor,Popow,26,defender,BGR,2000-03-05,photos/korona-kielce/wiktor_popow.png
Korona Kielce,Dawid,Błanik,7,midfielder,POL,1997-04-15,photos/korona-kielce/dawid_błanik.png
Korona Kielce,David,Gonzalez Plata,10,midfielder,ESP,1991-05-28,photos/korona-kielce/david_gonzalez_plata.png
Korona Kielce,Wiktor,Długosz,71,midfielder,POL,2000-07-01,photos/korona-kielce/wiktor_długosz.png
Korona Kielce,Mateusz,Głowiński,17,striker,POL,2006-01-12,photos/korona-kielce/mateusz_głowiński.png
Korona Kielce,Rafał,Mamla,87,goalkeeper,POL,2003-12-22,photos/korona-kielce/rafał_mamla.png
Korona Kielce,Michał,Niedbała,22,goalkeeper,POL,2006-04-10,photos/korona-kielce/michał_niedbała.png
Korona Kielce,Marcel,Pięczek,6,defender,POL,2000-12-11,photos/korona-kielce/marcel_pięczek.png
Korona Kielce,Konrad,Matuszewski,3,defender,POL,2001-10-04,photos/korona-kielce/konrad_matuszewski.png
Korona Kielce,Pau,Resta,5,defender,ESP,2000-11-14,photos/korona-kielce/pau_resta.png
Korona Kielce,Konstantinos,Sotiriou,44,defender,CYP,1996-06-21,photos/korona-kielce/konstantinos_sotiriou.png
Korona Kielce,Hubert,Zwoźny,37,defender,POL,2003-11-17,photos/korona-kielce/hubert_zwoźny.png
Korona Kielce,Martin,Remacle,8,midfielder,BEL,1997-05-16,photos/korona-kielce/martin_remacle.png
Korona Kielce,Jakub,Kowalski,16,midfielder,POL,2006-02-05,photos/korona-kielce/jakub_kowalski.png
Korona Kielce,Wojciech,Kamiński,27,midfielder,POL,2001-01-21,photos/korona-kielce/wojciech_kamiński.png
Korona Kielce,Miłosz,Strzeboński,13,midfielder,POL,2003-11-19,photos/korona-kielce/miłosz_strzeboński.png
Korona Kielce,Tamar,Svetlin,88,midfielder,SVN,2001-07-30,photos/korona-kielce/tamar_svetlin.png
Korona Kielce,Władimir,Nikołow,11,striker,BGR,2001-02-07,photos/korona-kielce/władimir_nikołow.png
Korona Kielce,Konrad,Ciszek,21,defender,POL,2007-10-04,photos/korona-kielce/konrad_ciszek.png
Korona Kielce,Radosław,Seweryś,33,defender,POL,2004-01-10,photos/korona-kielce/radosław_seweryś.png
Korona Kielce,Nikodem,Niski,15,defender,POL,2002-04-14,photos/korona-kielce/nikodem_niski.png
Korona Kielce,Antonio,Cortes Heredia,70,striker,ESP,2000-04-16,photos/korona-kielce/antonio_cortes_heredia.png
Korona Kielce,Stjepan,Davidović,9,midfielder,HRV,2005-02-13,photos/korona-kielce/stjepan_davidović.png
Korona Kielce,Slobodan,Rubezić,23,defender,MNE,2000-03-21,photos/korona-kielce/slobodan_rubezić.png
Korona Kielce,Marcin,Cebula,77,midfielder,POL,1995-12-06,Brak
Kghm Zaglebie Lubin,Arkadiusz,Woźniak,11,midfielder,POL,1990-06-01,photos/kghm-zaglebie-lubin/arkadiusz_woźniak.png
Kghm Zaglebie Lubin,Mateusz,Wdowiak,17,midfielder,POL,1996-08-28,photos/kghm-zaglebie-lubin/mateusz_wdowiak.png
Kghm Zaglebie Lubin,Jakub,Sypek,19,midfielder,POL,2001-04-07,photos/kghm-zaglebie-lubin/jakub_sypek.png
Kghm Zaglebie Lubin,Adam,Matysek,22,goalkeeper,POL,2007-05-30,photos/kghm-zaglebie-lubin/adam_matysek.png
Kghm Zaglebie Lubin,Jasmin,Burić,1,goalkeeper,BIH,1987-02-18,photos/kghm-zaglebie-lubin/jasmin_burić.png
Kghm Zaglebie Lubin,Josip,Corluka,16,defender,HRV,1995-03-03,photos/kghm-zaglebie-lubin/josip_corluka.png
Kghm Zaglebie Lubin,Mateusz,Grzybek,13,defender,POL,1996-03-30,photos/kghm-zaglebie-lubin/mateusz_grzybek.png
Kghm Zaglebie Lubin,Kajetan,Szmyt,77,midfielder,POL,2002-05-29,photos/kghm-zaglebie-lubin/kajetan_szmyt.png
Kghm Zaglebie Lubin,Adam,Radwański,18,midfielder,POL,1998-04-10,photos/kghm-zaglebie-lubin/adam_radwański.png
Kghm Zaglebie Lubin,Michalis,Kosidis,9,striker,GRC,2002-02-09,photos/kghm-zaglebie-lubin/michalis_kosidis.png
Kghm Zaglebie Lubin,Hubert,Adamczyk,15,midfielder,POL,1998-02-23,photos/kghm-zaglebie-lubin/hubert_adamczyk.png
Kghm Zaglebie Lubin,Dominik,Hładun,30,goalkeeper,POL,1995-09-17,photos/kghm-zaglebie-lubin/dominik_hładun.png
Kghm Zaglebie Lubin,Michał,Nalepa,25,defender,POL,1993-01-22,photos/kghm-zaglebie-lubin/michał_nalepa.png
Kghm Zaglebie Lubin,Damian,Michalski,4,defender,POL,1998-05-17,photos/kghm-zaglebie-lubin/damian_michalski.png
Kghm Zaglebie Lubin,Igor,Orlikowski,31,defender,POL,2006-02-09,photos/kghm-zaglebie-lubin/igor_orlikowski.png
Kghm Zaglebie Lubin,Damian,Dąbrowski,8,midfielder,POL,1992-08-27,photos/kghm-zaglebie-lubin/damian_dąbrowski.png
